Bird,Test L IS +,Test L IS - ,Test L NS +,Test L NS -,,Test R IS +,Test R IS - ,Test R NS +,Test R NS -
CLB01L,8,1,52,1,,71,0,0,0
CLB03L,13,0,34,0,,41,0,3,0
CLB02R,45,0,4,0,,3,0,31,0
CLB04R,9,0,11,0,,7,0,15,0
CLR01L,16,0,7,0,,7,2,12,1
CLR03L,14,0,6,0,,,,,
CLR02R,7,2,1,3,,0,0,1,0
CLR04R,28,0,2,6,,10,0,5,2
CRB01L,21,0,13,0,,39,0,10,2
CRB03L,6,0,5,0,,20,0,27,0
CRB02R,1,0,0,0,,1,0,0,0
CRB04R,50,0,3,0,,36,0,18,0
CRR01L,0,0,0,0,,0,0,0,0
CRR03L,3,1,59,0,,26,1,3,1
CRR02R,10,1,9,0,,44,1,23,0
CRR04R,0,0,0,0,,10,1,5,1
