Bird,T0 IS +,T0 NS +,T0 IS -,T0 NS -,T1 IS +,T1 NS +,T1 IS -,T1 NS -,T2 IS +,T2 NS +,T2 IS -,T2 NS -,T3 IS +,T3 NS +,T3 IS -,T3 NS -
C04R,54,4,0,0,1,53,0,0,4,52,0,0,19,46,0,0
C05B,20,8,0,1,19,9,0,3,29,8,0,1,16,7,0,1
C06R,6,5,3,5,9,3,0,2,14,6,3,5,18,8,3,3
C07B,29,18,0,0,73,12,0,0,55,7,0,1,47,3,0,0
C08R,24,13,0,5,10,4,0,4,3,0,1,1,12,11,0,0
C09B,9,3,0,2,16,4,0,3,24,6,0,0,23,10,0,0
C12R,175,36,0,1,66,71,0,0,171,12,0,0,149,0,0,0
C13B,18,19,1,2,47,50,1,1,38,16,0,0,62,28,0,0
C15B,18,25,2,2,27,30,0,2,35,66,0,1,35,49,0,0
C16R,24,10,0,1,19,10,1,0,13,25,0,0,9,27,0,1
C17B,17,10,0,0,5,0,0,0,1,1,0,0,1,0,0,1
C18R,108,0,0,0,94,0,0,0,97,1,0,0,95,2,0,0
C19B,19,7,0,0,37,14,0,4,38,22,0,1,14,6,0,1
C20R,3,2,0,0,9,16,1,4,19,9,1,1,4,5,0,0
C21B,3,2,0,0,10,8,0,0,1,1,0,0,4,7,0,0
C22R,33,15,0,0,12,6,0,0,36,16,0,0,22,16,0,0
