Bird,It IS +,It NS +,It IS -,It NS -,T0 IS +,T0 NS +,T0 IS -,T0 NS -,T1 IS +,T1 NS +,T1 IS -,T1 NS -,T2 IS +,T2 NS +,T2 IS -,T2 NS -,T3 IS +,T3 NS +,T3 IS -,T3 NS -
R01B,19,7,1,2,13,7,2,2,6,4,2,1,44,16,0,0,51,13,0,0
R02R,10,5,2,3,1,1,1,1,1,1,0,0,2,3,1,0,3,6,2,0
R03B,18,8,0,1,1,0,0,0,4,8,2,0,3,5,0,0,1,1,0,0
R04R,1,1,0,0,7,5,1,1,10,10,0,0,10,18,0,0,42,26,0,0
R05B,52,18,0,0,4,77,0,0,0,76,0,0,2,79,0,0,5,82,1,0
R06R,65,40,0,0,32,18,0,0,35,12,0,0,25,16,0,0,30,19,0,0
R07B,22,23,1,2,12,15,0,0,3,7,0,0,9,11,1,0,9,8,0,0
R08R,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
L01B,2,0,0,3,2,3,0,0,4,5,2,1,12,12,2,2,7,12,1,1
L02R,24,8,0,0,15,13,0,0,2,1,0,0,10,6,0,0,14,14,0,0
L03B,7,3,0,0,3,3,0,0,7,5,0,0,6,9,0,0,3,5,0,0
L04R,0,1,0,0,2,2,0,0,6,6,0,2,1,3,1,3,4,4,0,1
L05B,75,30,0,0,15,59,2,0,1,77,0,0,13,56,0,0,50,41,0,0
L06R,40,22,0,0,11,43,2,1,29,49,0,3,15,35,0,0,24,22,1,0
L07B,10,6,1,2,3,7,0,0,4,5,0,1,1,1,0,0,1,1,0,0
L08R,10,5,0,3,5,35,1,0,4,66,0,0,5,73,0,0,24,61,0,0
