Bird,T0 IS +,T0 NS +,T0 IS -,T0 NS -,T1 IS +,T1 NS +,T1 IS -,T1 NS -,T2 IS +,T2 NS +,T2 IS -,T2 NS -,T3 IS +,T3 NS +,T3 IS -,T3 NS -
CR01B,8,13,0,0,4,1,0,1,18,9,0,1,13,9,2,1
CR02R,65,2,1,1,84,0,0,1,44,1,0,1,36,10,0,0
CR03B,56,13,0,1,50,11,0,0,25,48,0,0,14,52,0,0
CR04R,9,6,2,2,4,2,0,0,24,12,2,0,9,4,0,1
CR05B,3,1,0,0,1,1,0,0,11,6,0,0,3,2,0,0
CR06R,50,15,0,2,71,3,0,0,59,6,0,0,31,41,0,0
CR07B,49,0,0,3,72,3,0,1,79,0,0,0,72,1,0,1
CR08R,14,9,2,5,8,5,1,2,6,4,1,1,12,6,0,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CL01B,1,1,0,0,1,1,0,0,6,6,0,0,7,7,0,0
CL02R,50,23,0,0,32,24,0,1,31,21,0,0,32,24,0,0
CL03B,28,24,0,1,16,18,0,1,19,18,1,0,25,19,0,2
CL04R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL05B,5,2,0,1,15,7,0,2,10,5,0,1,0,1,1,0
CL06R,13,9,0,1,16,7,0,1,31,4,1,0,13,10,0,0
CL07B,15,15,1,1,1,1,0,0,1,1,0,0,1,1,0,0
CL08R,68,44,1,1,64,46,0,0,51,33,0,0,69,50,0,0
